lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_step,epoch,val_loss,val_f1score,train_loss_epoch,test_loss,test_acc
0.0,0.0,9,,,,,,,
0.0,0.0,9,,,,,,,
,,9,1.2457554340362549,0,,,,,
0.0,0.0,19,,,,,,,
0.0,0.0,19,,,,,,,
,,19,1.2416939735412598,0,,,,,
0.0,0.0,29,,,,,,,
0.0,0.0,29,,,,,,,
,,29,1.1073074340820312,0,,,,,
0.0,0.0,39,,,,,,,
0.0,0.0,39,,,,,,,
,,39,1.141964316368103,0,,,,,
,,39,,0,1.1644960641860962,0.1529608815908432,,,
,,39,,0,,,1.2257882356643677,,
9.993734137557833e-05,9.993734137557833e-05,49,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,49,,,,,,,
,,49,1.1551343202590942,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,59,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,59,,,,,,,
,,59,1.1133548021316528,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,69,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,69,,,,,,,
,,69,0.9902853965759277,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,79,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,79,,,,,,,
,,79,0.9553415775299072,1,,,,,
,,79,,1,0.8559824824333191,0.28471046686172485,,,
,,79,,1,,,1.091369867324829,,
9.987404983575846e-05,9.987404983575846e-05,89,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,89,,,,,,,
,,89,0.754029393196106,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,99,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,99,,,,,,,
,,99,0.8134409189224243,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,109,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,109,,,,,,,
,,109,0.8147393465042114,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,119,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,119,,,,,,,
,,119,0.6388655304908752,2,,,,,
,,119,,2,0.607970654964447,0.4882321059703827,,,
,,119,,2,,,0.7746576070785522,,
9.98107582959386e-05,9.98107582959386e-05,129,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,129,,,,,,,
,,129,0.7187942266464233,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,139,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,139,,,,,,,
,,139,0.6790583729743958,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,149,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,149,,,,,,,
,,149,0.6218645572662354,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,159,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,159,,,,,,,
,,159,0.6074218153953552,3,,,,,
,,159,,3,0.5685386657714844,0.5662200450897217,,,
,,159,,3,,,0.6771669387817383,,
9.97474667561187e-05,9.97474667561187e-05,169,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,169,,,,,,,
,,169,0.6610170602798462,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,179,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,179,,,,,,,
,,179,0.5514839887619019,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,189,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,189,,,,,,,
,,189,0.6072540879249573,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,199,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,199,,,,,,,
,,199,0.6671199798583984,4,,,,,
,,199,,4,0.5401275157928467,0.5802194476127625,,,
,,199,,4,,,0.6303848028182983,,
9.968417521629883e-05,9.968417521629883e-05,209,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,209,,,,,,,
,,209,0.5996392965316772,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,219,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,219,,,,,,,
,,219,0.7123595476150513,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,229,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,229,,,,,,,
,,229,0.48980405926704407,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,239,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,239,,,,,,,
,,239,0.5530356764793396,5,,,,,
,,239,,5,0.505375325679779,0.6233956217765808,,,
,,239,,5,,,0.6201688051223755,,
9.962088367647897e-05,9.962088367647897e-05,249,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,249,,,,,,,
,,249,0.6130423545837402,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,259,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,259,,,,,,,
,,259,0.5726392865180969,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,269,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,269,,,,,,,
,,269,0.5925288200378418,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,279,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,279,,,,,,,
,,279,0.43676865100860596,6,,,,,
,,279,,6,0.47719529271125793,0.6770409941673279,,,
,,279,,6,,,0.6021949648857117,,
9.955759213665909e-05,9.955759213665909e-05,289,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,289,,,,,,,
,,289,0.6357743144035339,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,299,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,299,,,,,,,
,,299,0.5951836705207825,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,309,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,309,,,,,,,
,,309,0.5538772344589233,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,319,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,319,,,,,,,
,,319,0.532596230506897,7,,,,,
,,319,,7,0.48307734727859497,0.7142181396484375,,,
,,319,,7,,,0.5757905840873718,,
9.949430059683923e-05,9.949430059683923e-05,329,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,329,,,,,,,
,,329,0.5700759887695312,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,339,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,339,,,,,,,
,,339,0.516995906829834,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,349,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,349,,,,,,,
,,349,0.6364117860794067,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,359,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,359,,,,,,,
,,359,0.5487898588180542,8,,,,,
,,359,,8,0.4568096399307251,0.7138084173202515,,,
,,359,,8,,,0.5692905187606812,,
9.943100905701935e-05,9.943100905701935e-05,369,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,369,,,,,,,
,,369,0.5458025336265564,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,379,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,379,,,,,,,
,,379,0.5182972550392151,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,389,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,389,,,,,,,
,,389,0.45957350730895996,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,399,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,399,,,,,,,
,,399,0.4962908625602722,9,,,,,
,,399,,9,0.4383845925331116,0.761808454990387,,,
,,399,,9,,,0.5424937009811401,,
